PeriodID,NodeName,CutPattern,CutPatternType,CutPatternOutput,CutPatternOutputQty,DowngradeOutputQty,FgProduct,FgType,FgInput,FgInputQty
1,A01,23101617-ABF-4,001-C08,20001406-ABF-4,1486.002,2972.004,10044783,1,20001406-ABF-234,6500
1,A01,23101644-HP-23,001-C09,20001406-HP-23,1068,1367.999,10044774,1,20001406-ABF-23,299.999
1,A01,23101644-HP-23,001-C09,20001406-HP-23,1068,1836.001,10044783,1,20001406-ABF-234,6500
1,A01,23102761-ABF-34,001-C08,20001409-ABF-34,1500.003,3500.006,10094412,1,20001409-NFA-12345,8538.003
1,A01,23102761-ABF-34,001-C08,20001409-ABF-34,1500.003,3500.006,10092607,1,20001409-NFA-12345,3024
1,A01,23102683-ABF-34,001-C08,20001409-ABF-34,500,2500.003,10094412,1,20001409-NFA-12345,8538.003
1,A01,23102683-ABF-34,001-C08,20001409-ABF-34,500,2500.003,10092607,1,20001409-NFA-12345,3024
1,A01,23102679-FA-3,001-C08,20001409-FA-3,810,1620,10092511,1,20001409-NFA-123,1296
1,A01,23102679-FA-3,001-C08,20001409-FA-3,810,1620,10098742,1,20001409-NFA-123,3600
1,A01,23102679-FA-3,001-C08,20001409-FA-3,810,810,10094412,1,20001409-NFA-12345,8538.003
1,A01,23102679-FA-3,001-C08,20001409-FA-3,810,810,10092607,1,20001409-NFA-12345,3024
1,A01,23102634-NFA-1,001-C08,20001409-NFA-1,531.994,531.994,10098742,1,20001409-NFA-123,3600
1,A01,23102634-NFA-1,001-C08,20001409-NFA-1,531.994,531.994,10092511,1,20001409-NFA-123,1296
1,A01,23102634-NFA-1,001-C08,20001409-NFA-1,531.994,1063.988,10092607,1,20001409-NFA-12345,3024
1,A01,23102634-NFA-1,001-C08,20001409-NFA-1,531.994,1063.988,10094412,1,20001409-NFA-12345,8538.003
1,A01,23102647-NFA-12,001-C08,20001409-NFA-12,2580.006,2580.006,10092511,1,20001409-NFA-123,1296
1,A01,23102647-NFA-12,001-C08,20001409-NFA-12,2580.006,2580.006,10098742,1,20001409-NFA-123,3600
1,A01,23102647-NFA-12,001-C08,20001409-NFA-12,2580.006,5160.012,10094412,1,20001409-NFA-12345,8538.003
1,A01,23102647-NFA-12,001-C08,20001409-NFA-12,2580.006,5160.012,10092607,1,20001409-NFA-12345,3024
1,A01,23102645-NFA-1234,001-C08,20001409-NFA-1234,1480,2960,10092607,1,20001409-NFA-12345,3024
1,A01,23102645-NFA-1234,001-C08,20001409-NFA-1234,1480,2960,10094412,1,20001409-NFA-12345,8538.003
1,A01,23102634-NFA-2,001-C08,20001409-NFA-2,1044,2088,10098742,1,20001409-NFA-123,3600
1,A01,23102634-NFA-2,001-C08,20001409-NFA-2,1044,2088,10092511,1,20001409-NFA-123,1296
1,A01,23102634-NFA-2,001-C08,20001409-NFA-2,1044,1044,10092607,1,20001409-NFA-12345,3024
1,A01,23102634-NFA-2,001-C08,20001409-NFA-2,1044,1044,10094412,1,20001409-NFA-12345,8538.003
1,A01,23102653-NFA-23,001-C08,20001409-NFA-23,864,3406,10092511,1,20001409-NFA-123,1296
1,A01,23102653-NFA-23,001-C08,20001409-NFA-23,864,3406,10098742,1,20001409-NFA-123,3600
1,A01,23102770-NFA-23,001-C08,20001409-NFA-23,5734,8276,10092511,1,20001409-NFA-123,1296
1,A01,23102770-NFA-23,001-C08,20001409-NFA-23,5734,8276,10098742,1,20001409-NFA-123,3600
1,A01,23102770-NFA-23,001-C08,20001409-NFA-23,5734,9790,10094412,1,20001409-NFA-12345,8538.003
1,A01,23102770-NFA-23,001-C08,20001409-NFA-23,5734,9790,10092607,1,20001409-NFA-12345,3024
1,A01,23102653-NFA-23,001-C08,20001409-NFA-23,864,4920,10094412,1,20001409-NFA-12345,8538.003
1,A01,23102653-NFA-23,001-C08,20001409-NFA-23,864,4920,10092607,1,20001409-NFA-12345,3024
1,A01,23102653-NFA-3,001-C08,20001409-NFA-3,500,1000,10092511,1,20001409-NFA-123,1296
1,A01,23102653-NFA-3,001-C08,20001409-NFA-3,500,1000,10098742,1,20001409-NFA-123,3600
1,A01,23102653-NFA-3,001-C08,20001409-NFA-3,500,500,10092607,1,20001409-NFA-12345,3024
1,A01,23102653-NFA-3,001-C08,20001409-NFA-3,500,500,10094412,1,20001409-NFA-12345,8538.003
